stnam,STATE,2017 total births,Home num
ome/tot10k,,"58941",
Arizona,ARIZONA,"81872","706"
Arkansas,ARKANSAS,"37520","292"
California,CALIFORNIA,"471658","3520"
Colorado,COLORADO,"64658","1040"
Connecticut,CONNECTICUT,"35221","212"
Delaware,DELAWARE,"10855","83"
District of Columbia,DISTRICT OF COLUMBIA,"9560","56"
Florida,FLORIDA,"223630","2020"
Georgia,GEORGIA,"129243","822"
Idaho,IDAHO,"22181","504"
Illinois,ILLINOIS,"149390","784"
Indiana,INDIANA,"82170","1354"
Iowa,IOWA,"38430","489"
Kansas,KANSAS,"36519","449"
Kentucky,KENTUCKY,"54752","641"
Louisiana,LOUISIANA,"61018","173"
Maine,MAINE,"12298","243"
Maryland,MARYLAND,"71641","515"
Massachusetts,MASSACHUSETTS,"70702","402"
Michigan,MICHIGAN,"111426","1375"
Minnesota,MINNESOTA,"68595","972"
Mississippi,MISSISSIPPI,"37357","179"
Missouri,MISSOURI,"73034","1164"
Montana,MONTANA,"11799","323"
Nebraska,NEBRASKA,"25821","90"
Nevada,NEVADA,"35756","487"
New Hampshire,NEW HAMPSHIRE,"12116","143"
New Jersey,NEW JERSEY,"101250","397"
New Mexico,NEW MEXICO,"23767","283"
New York,NEW YORK,"229737","2339"
North Carolina,NORTH CAROLINA,"120125","642"
North Dakota,NORTH DAKOTA,"10737","123"
Ohio,OHIO,"136832","1482"
Oklahoma,OKLAHOMA,"50214","543"
Oregon,OREGON,"43631","916"
Pennsylvania,PENNSYLVANIA,"137745","2611"
Rhode Island,RHODE ISLAND,"10638","51"
South Carolina,SOUTH CAROLINA,"57029","406"
South Dakota,SOUTH DAKOTA,"12134","99"
Tennessee,TENNESSEE,"81016","785"
Texas,TEXAS,"382050","2378"
Utah,UTAH,"48585","993"
Vermont,VERMONT,"5655","145"
Virginia,VIRGINIA,"100391","878"
Washington,WASHINGTON,"87562","1877"
West Virginia,WEST VIRGINIA,"18675","125"
Wisconsin,WISCONSIN,"64975","1366"
Wyoming,WYOMING,"6903","160"
